epoch,loss,accuracy
1,0.24262068031976067,0.5
50,0.03459796870037202,1.0
100,0.02092842462076124,1.0
150,0.014825683784129951,1.0
200,0.011363792617330708,1.0
250,0.009158730045067013,1.0
300,0.007642152851791095,1.0
350,0.00654028593949327,1.0
400,0.005706141895382354,1.0
450,0.005054205665446928,1.0
500,0.0045315427234026324,1.0
550,0.0041037283618301,1.0
600,0.0037474567493510627,1.0
650,0.0034464139374889365,1.0
700,0.003188854077738716,1.0
750,0.0029661142547524836,1.0
800,0.0027716709556556414,1.0
850,0.0026005216577894338,1.0
900,0.002448768342045873,1.0
950,0.0023133302159225257,1.0
1000,0.002191741320069517,1.0
